,price,address,bedrooms,bathrooms,floor_area
0,,"7 Henrietta Street, Dublin 1",6 Bed,7 Bath,763 m²
1,,"Drumleck House, Ceanchor Road, Howth, Dublin 13",5 Bed,5 Bath,781 m²
2,,"13 Inverness Road, Fairview, Fairview, Dublin 3",4 Bed,3 Bath,200 m²
3,,"3 Ballymun Road, Glasnevin, Dublin 9",4 Bed,2 Bath,152 m²
4,,"4 Newlands Manor Drive, Clondalkin, Clondalkin, Dublin 22",2 Bed,2 Bath,60 m²
5,,"34 The Pine, The Wintergarden, Pearse Street, Dublin 2",1 Bed,1 Bath,45 m²
6,,"Filmar, 2 Wansdowne, Blackrock, Co. Dublin",4 Bed,2 Bath,154 m²
7,,"7 Oxford Road, Ranelagh, Ranelagh, Dublin 6",6 Bed,6 Bath,221 m²
8,,"1 Newtown Clarke Cottage, Old Lucan Road, Palmerstown, Dublin 20",3 Bed,1 Bath,105 m²
9,,"48 Alderwood, Hollystown, Hollystown, Dublin 15",4 Bed,4 Bath,148 m²
10,,"5 Cedar Cottages, Linden Grove, Blackrock, Co. Dublin",2 Bed,1 Bath,72 m²
11,,"28 Leeson Park Avenue, Ranelagh, Ranelagh, Dublin 6",2 Bed,2 Bath,143 m²
12,,"Fern House, 126, Ranelagh, Dublin 6",5 Bed,2 Bath,265 m²
13,,"10F North Street, Ongar Village, Ongar, Dublin 15",2 Bed,2 Bath,71 m²
14,,"17 O'Donovan Road, South Circular Road, South Circular Road, Dublin 8",3 Bed,2 Bath,100 m²
15,,"11 Somerton, Castleknock Golf Club, Castleknock, Dublin 15",5 Bed,6 Bath,286 m²
16,,"19 Ticknock Dale Sandyford Dublin 18, Sandyford, Dublin 18",3 Bed,3 Bath,120 m²
17,,"86 Kincora Road, Clontarf, Clontarf, Dublin 3",4 Bed,2 Bath,286 m²
18,,"Apartment 17, Amber, The Grange, Stillorgan, Co. Dublin",2 Bed,2 Bath,74 m²
19,"€435,000 ","Apartment 1, House 5, Linden Square, Blackrock, Co. Dublin",2 Bed,2 Bath,79 m²
20,"€485,000 ","11 Reuben Avenue, Rialto, Rialto, Dublin 8",2 Bed,1 Bath,90 m²
21,"€1,975,000 ","Chipton, 25 Ailesbury Park, Ballsbridge, Dublin 4",5 Bed,2 Bath,285 m²
22,"€795,000 ","37 Dollymount Park, Clontarf, Clontarf, Dublin 3",3 Bed,3 Bath,138 m²
23,"€250,000 ","4 Linnetfields Park, Clonee, Dublin 15",2 Bed,1 Bath,73 m²
24,"€1,695,000 ","54 Palmerston Road, Rathmines, Rathmines, Dublin 6",6 Bed,3 Bath,255 m²
25,"€585,000 ","1 Vale View Avenue, Cabinteely, Dublin 18",4 Bed,2 Bath,132 m²
26,"€365,000 ","115 Sycamore Road, Finglas, Finglas, Dublin 11",3 Bed,1 Bath,110 m²
27,"€345,000 ","Apartment 49 Reuben Square, Block B, Reuben Street, South City Centre, Dublin 8",2 Bed,1 Bath,69 m²
28,"€495,000 ","126 Brandon Square, Waterville, Blanchardstown, Dublin 15",5 Bed,5 Bath,185 m²
29,"€375,000 ","46 Littlepace Woods, Clonee, Clonee, Dublin 15",3 Bed,2 Bath,96 m²
